"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"SHIPPED","326255018732803009_1","550120953","2026-09-01","","Rajasthan","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434902"
"SHIPPED","326261894799282816_1","549481690","2026-09-01","","Gujarat","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","187.0","187.0","TP15DAE01434903"
"SHIPPED","326277289782399488_1","550120953","2026-09-01","","Tamil Nadu","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434906"
"SHIPPED","326348230721917504_1","558472436","2026-09-01","","Maharashtra","Welcome Baby Decoration Kit | Pink White and Silver Foil Balloon Decor | Banner and Fringe Curtain | (Set of 59 Pcs)","WB006","Free Size","1","189.0","189.0","TP15DAE01434908"
"SHIPPED","326360506996740736_1","549481690","2026-09-01","","Jharkhand","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","187.0","187.0","TP15DAE01434910"
"SHIPPED","326395787619717888_1","550120953","2026-09-01","","Karnataka","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434907"
"SHIPPED","326399121227371072_1","550120953","2026-09-01","","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434901"
"SHIPPED","326437069876482688_1","549481690","2026-09-02","","Maharashtra","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","187.0","187.0","TP15DAE01434904"
"SHIPPED","326437069876482688_2","558472436","2026-09-02","","Maharashtra","Welcome Baby Decoration Kit | Pink White and Silver Foil Balloon Decor | Banner and Fringe Curtain | (Set of 59 Pcs)","WB006","Free Size","1","189.0","189.0","TP15DAE01434909"
"READY_TO_SHIP","326597782785134144_1","549481690","2026-09-02","","Haryana","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","187.0","187.0","TP15DAE01434866"
"SHIPPED","326637392691843584_1","550120953","2026-09-02","","Madhya Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","182.0","182.0","TP15DAE01434911"
"SHIPPED","326654318570754688_1","550120953","2026-09-02","","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","182.0","182.0","TP15DAE01434912"
"SHIPPED","326699515098813056_1","558268822","2026-09-02","","Chhattisgarh","Annaprashan Decoration Kit | Red and Gold Coloured Balloons | Heart Foil and Fringe Backdrop | (Set of 50 Pcs)","ANP014","Free Size","1","159.0","159.0","NP2NMEU01839137"
"SHIPPED","326930455985246848_1","550120953","2026-09-03","","Madhya Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434913"
"SHIPPED","326960509385710016_1","549481690","2026-09-03","","Rajasthan","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","187.0","187.0","TP15DAE01434915"
"SHIPPED","327023532959715904_1","550120953","2026-09-03","Ad order","Karnataka","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434914"
"SHIPPED","327290576535933696_1","553468200","2026-09-04","Ad order","Uttar Pradesh","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0","NP2NMEU01839142"
"PENDING","327333469279605377_1","549481690","2026-09-04","Ad order","Madhya Pradesh","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","187.0","187.0",
"PENDING","327357113713462848_1","530312968","2026-09-04","Ad order","Delhi","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","151.0","151.0",
"PENDING","327357131437232768_1","549481690","2026-09-04","Ad order","Punjab","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","187.0","187.0",
"PENDING","327376486719935232_1","530312968","2026-09-04","Ad order","Maharashtra","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","151.0","151.0",
"CANCELLED","327395704467215104_1","530312968","2026-09-04","Ad order","Rajasthan","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","151.0","151.0",
"PENDING","327397838536088832_1","550120953","2026-09-04","","Punjab","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0",
