,Based on image uploaded and content given below kindly make the 2nd image showing content of the kit,,,SKU Cost,
,Act like meesho expert and create the high CTR and SEO content based on 2nd image uploaded ,,,,
,,MKU003,,,
,,,,SKUcost ,
,,,,SKU Cost,#VALUE!
,,88,,#N/A,
category,specific material,numbers,,cost of material,
Banner,,1,",",#N/A,
Balloon,BLUE Balloon,20,",",16,
Balloon,WHITE BALLOONS,20,",",16,
Balloon,SILVER MATALIC BALLOONS,20,",",16,
Balloon,BLUE Dark Balloon,20,",",16,
Balloon,CONFETI SILVER BALLOONS,2,",",4,
KT,BLUE MATTALIC Curtain,2,",",8,
Tape,Glue dote stripe,1,",",1,
Tape,ARCH TAPE,1,",",3.5,
Character,Car theme topper ,1,,0,
Empty,Empty,,,,
Empty,Empty,,,,
Empty,Empty,,,,
Empty,Empty,,,,
Empty,Empty,,,,
Empty,Empty,,,,
Empty,Empty,,,,
Empty,Empty,,,,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
,,,,#N/A,
